model_name,class_name,timestamp,accuracy,precision,recall,f1_score,auc,true_positives,true_positives_rate,false_positives,false_negatives,true_negatives
DenseNetV6_4,Atelectasis,2025-06-21 14:53:23,0.8505523066926576,0.28811086797957697,0.2297847585805701,0.255663430420712,0.7158217700436277,395,0.025666016894087068,976,1324,12695
DenseNetV6_4,Cardiomegaly,2025-06-21 14:53:23,0.9663417803768681,0.35714285714285715,0.3140096618357488,0.3341902313624679,0.8497134868285231,130,0.008447043534762833,234,284,14742
DenseNetV6_4,Consolidation,2025-06-21 14:53:23,0.9307342430149448,0.14446529080675422,0.11208151382823872,0.12622950819672132,0.7282649640959904,77,0.005003248862897986,456,610,14247
DenseNetV6_4,Edema,2025-06-21 14:53:23,0.968615984405458,0.23193916349809887,0.1783625730994152,0.20165289256198346,0.8289975003963924,61,0.00396361273554256,202,281,14846
DenseNetV6_4,Effusion,2025-06-21 14:53:23,0.8564652371669915,0.44865358283888634,0.4954637096774194,0.47089820359281437,0.8310574744156444,983,0.06387264457439897,1208,1001,12198
DenseNetV6_4,Emphysema,2025-06-21 14:53:23,0.9706302794022093,0.2682926829268293,0.11702127659574468,0.16296296296296298,0.7902925354775259,44,0.0028589993502274205,120,332,14894
DenseNetV6_4,Fibrosis,2025-06-21 14:53:23,0.9784275503573749,0.15517241379310345,0.07142857142857142,0.09782608695652174,0.68492226017989,18,0.0011695906432748538,98,234,15040
DenseNetV6_4,Hernia,2025-06-21 14:53:23,0.9979857050032489,0.6153846153846154,0.23529411764705882,0.3404255319148936,0.8539199086771985,8,0.0005198180636777127,5,26,15351
DenseNetV6_4,Infiltration,2025-06-21 14:53:23,0.7937621832358674,0.4038623005877414,0.1633276740237691,0.23259187620889749,0.6499648777200326,481,0.03125406107862248,710,2464,11735
DenseNetV6_4,Mass,2025-06-21 14:53:23,0.927030539311241,0.27177700348432055,0.18118466898954705,0.21742160278745645,0.7244814707962425,156,0.0101364522417154,418,705,14111
DenseNetV6_4,Nodule,2025-06-21 14:53:23,0.9083170890188434,0.1515601783060921,0.10828025477707007,0.12631578947368421,0.6151488359749173,102,0.006627680311890838,571,840,13877
DenseNetV6_4,Pleural_Thickening,2025-06-21 14:53:23,0.9516569200779728,0.13414634146341464,0.0873015873015873,0.10576923076923077,0.6924291946838299,44,0.0028589993502274205,284,460,14602
DenseNetV6_4,Pneumonia,2025-06-21 14:53:23,0.9833658219623131,0.02127659574468085,0.004739336492890996,0.007751937984496124,0.6341397084835029,1,6.49772579597141e-05,46,210,15133
DenseNetV6_4,Pneumothorax,2025-06-21 14:53:23,0.9356075373619234,0.35488505747126436,0.31305449936628643,0.33265993265993266,0.8166923303081226,247,0.016049382716049384,449,542,14152
