model_name,class_name,timestamp,accuracy,precision,recall,f1_score,auc,true_positives,true_positives_rate,false_positives,false_negatives,true_negatives
DenseNetV2_3,Atelectasis,2025-05-18 18:55:43,0.8720597790773229,0.31671554252199413,0.1256544502617801,0.17992503123698458,0.7320129287742545,216,0.014035087719298246,466,1503,13205
DenseNetV2_3,Cardiomegaly,2025-05-18 18:55:43,0.9729694606887589,0.4868421052631579,0.0893719806763285,0.1510204081632653,0.8217647430736199,37,0.002404158544509422,39,377,14937
DenseNetV2_3,Consolidation,2025-05-18 18:55:43,0.9472384665367122,0.1069182389937107,0.024745269286754003,0.04018912529550828,0.7418548591564703,17,0.0011046133853151398,142,670,14561
DenseNetV2_3,Edema,2025-05-18 18:55:43,0.9751786874593892,0.20588235294117646,0.04093567251461988,0.06829268292682927,0.8079277889700327,14,0.0009096816114359974,54,328,14994
DenseNetV2_3,Effusion,2025-05-18 18:55:43,0.8716049382716049,0.5038610038610039,0.26310483870967744,0.3456953642384106,0.8247688016138657,522,0.03391812865497076,514,1462,12892
DenseNetV2_3,Emphysema,2025-05-18 18:55:43,0.9755035737491878,0.4935064935064935,0.10106382978723404,0.16777041942604856,0.8100455532283345,38,0.0024691358024691358,39,338,14975
DenseNetV2_3,Fibrosis,2025-05-18 18:55:43,0.9830409356725146,0.0,0.0,0.0,0.6720686876503363,0,0.0,9,252,15129
DenseNetV2_3,Hernia,2025-05-18 18:55:43,0.9979207277452892,1.0,0.058823529411764705,0.1111111111111111,0.8198577294945069,2,0.0001299545159194282,0,32,15356
DenseNetV2_3,Infiltration,2025-05-18 18:55:43,0.7967511371020143,0.36484490398818314,0.08387096774193549,0.13638873550524572,0.6472279728598702,247,0.016049382716049384,430,2698,12015
DenseNetV2_3,Mass,2025-05-18 18:55:43,0.937946718648473,0.3558282208588957,0.13472706155632985,0.1954507160909857,0.7525639177810025,116,0.007537361923326835,210,745,14319
DenseNetV2_3,No Finding,2025-05-18 18:55:43,0.6683560753736192,0.6746116764863417,0.6532676348547718,0.663768115942029,0.718537807474392,5038,0.32735542560103964,2430,2674,5248
DenseNetV2_3,Nodule,2025-05-18 18:55:43,0.9299545159194282,0.21666666666666667,0.055201698513800426,0.08798646362098139,0.6283704589325979,52,0.0033788174139051334,188,890,14260
DenseNetV2_3,Pleural_Thickening,2025-05-18 18:55:43,0.9641325536062378,0.2647058823529412,0.05357142857142857,0.0891089108910891,0.7115889623573017,27,0.0017543859649122807,75,477,14811
DenseNetV2_3,Pneumonia,2025-05-18 18:55:43,0.9855100714749837,0.07142857142857142,0.004739336492890996,0.008888888888888889,0.6667040301688945,1,6.49772579597141e-05,13,210,15166
DenseNetV2_3,Pneumothorax,2025-05-18 18:55:43,0.9484730344379467,0.4921259842519685,0.15842839036755388,0.23969319271332695,0.8200973959715419,125,0.008122157244964262,129,664,14472
