model_name,class_name,timestamp,accuracy,precision,recall,f1_score,auc
DenseNet121_v4,Atelectasis,2025-04-02 13:39:23,0.8876127441437934,0.4057971014492754,0.016288539848749273,0.03131991051454139,0.6750475473293706
DenseNet121_v4,Cardiomegaly,2025-04-02 13:39:23,0.9648303160080463,0.33753148614609574,0.324455205811138,0.3308641975308642,0.8399948080244437
DenseNet121_v4,Consolidation,2025-04-02 13:39:23,0.909285575238466,0.13761467889908258,0.1965065502183406,0.1618705035971223,0.7024248600251419
DenseNet121_v4,Edema,2025-04-02 13:39:23,0.9642463175653754,0.17846153846153845,0.1695906432748538,0.17391304347826086,0.8234315132845054
DenseNet121_v4,Effusion,2025-04-02 13:39:23,0.8775549931866848,0.5745007680491552,0.18850806451612903,0.2838709677419355,0.7954965410331133
DenseNet121_v4,Emphysema,2025-04-02 13:39:23,0.9746285121017455,0.40963855421686746,0.09042553191489362,0.14814814814814814,0.7442507376405408
DenseNet121_v4,Fibrosis,2025-04-02 13:39:23,0.9466614755693985,0.050473186119873815,0.12698412698412698,0.07223476297968397,0.6865783541025972
DenseNet121_v4,Hernia,2025-04-02 13:39:23,0.9918240218026085,0.0660377358490566,0.20588235294117646,0.1,0.8058196160040397
DenseNet121_v4,Infiltration,2025-04-02 13:39:23,0.7908636688079943,0.34682713347921224,0.10771321780496092,0.16437645838734768,0.6470838673541814
DenseNet121_v4,Mass,2025-04-02 13:39:23,0.8892349620401012,0.1952449567723343,0.3147502903600465,0.24099599822143175,0.7150252443614276
DenseNet121_v4,Nodule,2025-04-02 13:39:23,0.8159756018428396,0.1011378002528445,0.2545068928950159,0.14475271411338964,0.5886357679404227
DenseNet121_v4,Pleural_Thickening,2025-04-02 13:39:23,0.966647200051911,0.07692307692307693,0.0019880715705765406,0.003875968992248062,0.675897125964364
DenseNet121_v4,Pneumonia,2025-04-02 13:39:23,0.9476348063071832,0.02086677367576244,0.06190476190476191,0.031212484993997598,0.6444911205716415
DenseNet121_v4,Pneumothorax,2025-04-02 13:39:23,0.9486730257608202,0.46875,0.019011406844106463,0.03654080389768575,0.7643863206630493
